"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1815","Оформление заказа через верхнюю кнопку","tests","2026-05-16","passed","2026-05-16","TestOrder","test_order","",""
"","1783","Оформление заказа через верхнюю кнопку","tests","2026-05-16","passed","2026-05-16","TestOrder","test_order","",""
"","531","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
"","44","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
"","30","Возврат на главную по логотипу 'Самокат'","tests","2026-05-16","passed","2026-05-16","TestNavigation","test_navigation","",""
"","549","Переход на Дзен по логотипу 'Яндекс'","tests","2026-05-16","passed","2026-05-16","TestNavigation","test_navigation","",""
"","535","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
"","539","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
"","530","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
"","1809","Оформление заказа через нижнюю кнопку","tests","2026-05-16","passed","2026-05-16","TestOrder","test_order","",""
"","530","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
"","539","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
"","46","Проверка ответов в разделе 'Вопросы о важном'","tests","2026-05-16","passed","2026-05-16","TestFAQ","test_faq","",""
